skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Cycle of Life	233	dru	cycle of life		115																	vine_beast				passive_summon_resist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Plague Poppy'.par8)	item_armor_percent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Spirit Wolf'.par8)	hpregen	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Cycle of Life'.par8)	damageresist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Fenris'.par8)	item_slow	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Vines'.par8)	damagepercent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Grizzly'.par8)																							cycleoflife	cyclevine	1+skill('Plague Poppy'.blvl)/10+skill('Vines'.blvl)/10	S1	Vine Attack	lvl	CorpseCycler	lvl										druid_summon																																1	0		none												SC	SC	xx				1	4																					16	30					Plague Poppy			1											1	6	40	1	1	1									par3 * (lvl-1)	hp %	ulvl * 9 / 10 + lvl	vine lvl					10	Radius	0	Life steal moved -->	20	% more hitpoints per level	0	?	2	min % life steal	16	max % life steal			1	pet regen synergy	16								8																																					500
Feral Rage	234	dru	feral rage	56	120																	feralrage		par1+skill('Shape Shifting'.blvl)*25		velocitypercent	dm34	lifedrainmindam	par2 * lvl	lifedrainmaxdam	par2 * lvl																																																																														1	0		h2h												A1	A1	xx				1		1	1								1											16	30					Shape Shifting			2	wolf	bear			1						1	5	24	-1	1										ln56	dmg%	lvl/par7 + par8						500	duration	4	% life steal per hit	10	Min Speed boost	70	Max Speed boost	60	% damage increase	15	% damage increase per level	2	Levels per charge	3	Min charge	16	20	10						8	128																																				500
Maul	235	dru	maul	56	120																	maul		par4		damagepercent	lvl*par3	stunlength	dm56																																																																																1	0		h2h												A1	A1	xx				1		1	1								1											16	30					Shape Shifting			2	wolf	bear			1						1	5	24	-1	1										0	dmg%	lvl/par7 + par8										20	damage per charge	500	duration	10	min stun duration	100	max stun duration	2	Levels per charge	3	Min charge	16	20	10						8	128																																				500
Heart of Wolverine	236	dru	heart of wolverine		119																																											poisonresist	100	maxpoisonresist	100									heartofwolverine	totem	1	NU	Wolverine Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					24	25					Oak Sage			1											1	8	20	1	1	1									(lvl-1)*par1	hp adj	ulvl	totem lvl					20	bonus hitpoints per level	3	Bonus Level	27	% attack rating bonus	9	% attack rating bonus per lvl	24	% damage increase	8	% damage increase per level	30	radius	2	radius/lvl	24								8																																					500
Summon Fenris	237	dru	summon fenris		119																	drusumm				passive_summon_resist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Plague Poppy'.par8)	item_armor_percent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Spirit Wolf'.par8)	hpregen	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Cycle of Life'.par8)	damageresist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Fenris'.par8)	item_slow	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Vines'.par8)	damagepercent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Grizzly'.par8)											item_armor_percent	(par6 * lvl) + skill('Summon Spirit Wolf'.ln56)	tohit	skill('Summon Spirit Wolf'.ln12)	damagepercent	skill('Summon Grizzly'.ln12)							fenris	fenris	"min(lvl,par3+skill('Raven'.blvl)/8)"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1									24	25					Oak Sage	Summon Spirit Wolf		1											1	8	20	2	1	1									ln12	hp%	ulvl	pet lvl					50	% feral hitpoints	20	% feral hitpoints per level	3	max fenri	500	rage duration - see fenris rage	100	% damage with rage - see fenris rage	4	defense points per level	8	damage synergy	2	pet red-dmg% synergy	24			150+lvl*25+(skill('Plague Poppy'.blvl)+skill('Raven'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Raven'.par7)					8		12	6	12	18	24	30	24	6	12	18	24	30	(skill('Summon Spirit Wolf'.blvl)+skill('Raven'.blvl)+skill('Summon Grizzly'.blvl))*par7*4/3																							500
Fire Claws	238	dru	fire claws	58	2															fire_hit																																																																																									1	0		h2h												A1	A1	xx				1		1	1								1											24	25					Shape Shifting			2	wolf	bear			1						1	5	32	-1	1										0	dmg%																					60	damage synergy	24	50	15						7	128														fire	50	25	50	75	100	150	50	25	50	75	100	150	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Eruption'.blvl))*par8/16									500
Tornado	239	dru	tornado		118												tornado				42371				par2+skill('Hurricane'.blvl)/7																																																				druid_windcast															69					tornado												1	0		none												SC	SC	xx				1	4												1									24	25					Hurricane				bear	bear	bear	8	1						1	7	15	1	1										1+skill('Hurricane'.blvl)/5	# missiles					par1-skill('Hurricane'.blvl)/5	damage delay	15	Frame delay between damage	3	Radius of damage											90	damage synergy	24								7		25	25	25	50	50	75	35	25	25	50	50	75	(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par8/16	mag	25	25	25	50	50	75	35	25	25	50	50	75	(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par8/16									500
Eruption	240	dru	eruption		28												erruption center									item_slow	dm56											domissiledamage																																							druid_firecast_a															28					erruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		32	20					Molten Boulder			0	bear			25							1	7	18	1	1										par1+skill('Volcano'.blvl)	radius	par2-skill('Volcano'.blvl)/5	frequency					7	radius	6	Missile delay	0	Change duration in Missiles.xls	0	slow effect min	75	slow effect max					80	damage synergy	32								7		30	30	45	60	75	90	50	30	45	60	75	90	(skill('Volcano'.blvl)+skill('Twister'.blvl))*par8/16	mag	30	30	45	60	75	90	50	30	45	60	75	90	(skill('Volcano'.blvl)+skill('Twister'.blvl))*par8/16									500
Rabies	241	dru	rabies	57	121												rabiesplague						rabies																																																																																						1	0		h2h												S3	S3	S3				1		1	1								1											32	20					Feral Rage			2	wolf				1						1	6	40	-1	1																														60	damage synergy	80	damage synergy	32	50	7		1	2			5	128														pois	6	4	5	7	9	11	14	4	5	7	9	11	(skill('Plague Poppy'.blvl))*par8/16+skill('Fire Claws'.blvl)*par7/16	250	25							500
Vines	242	dru	vines		115																	vine_beast				passive_summon_resist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Plague Poppy'.par8)	item_armor_percent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Spirit Wolf'.par8)	hpregen	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Cycle of Life'.par8)	damageresist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Fenris'.par8)	item_slow	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Vines'.par8)	damagepercent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Grizzly'.par8)																							vinecreature	vines	1+skill('Plague Poppy'.blvl)/10+skill('Vines'.blvl)/10	S1	Vine Attack	lvl	VineCycler	lvl										druid_summon																																1	0		none												SC	SC	xx				1	4																					32	20					Cycle of Life			1											1	8	14	1	1	1									par3 * (lvl-1)	hp %	ulvl * 9 / 10 + lvl	vine lvl					3	Number of vines	1	vines per level	20	% more hitpoints per level	0	Mana steal moved -->	1	min % mana steal	12	max % mana steal			2	pet slow target synergy	32								8																																					500
Hunger	243	dru	hunger		122																																																																																																								1	0		h2h												S3	S3	S3				1		1	1								1											32	20					Fire Claws			2	wolf				1						1	5	24	-1	1										par5+skill('Shape Shifting'.blvl)*par8/16	dmg%	dm12+skill('Cycle of Life'.blvl)/2	lifesteal	dm34+skill('Vines'.blvl)/2	manasteal			2	min % life steal	20	max % life steal	2	min % mana steal	20	max % mana steal	0	% damage penalty					160	damage synergy	32	50	10						8	128																																				500
Shock Wave	244	dru	shock wave		8												shockwave	shockwave																																																																										17					shockwave	shockwave											1	0		none												SC	SC	xx				1																						32	20					Maul			2	bear				1						1	5	56	1	1										5+skill('Maul'.blvl)/4	# missiles							40	stun length	15	stun length per level									160	damage synergy	160	mag damage synergy	32								8		10	5	10	15	15	15	20	5	10	15	15	15	skill('Maul'.blvl)*par7/16	mag	20	10	20	30	30	30	40	10	20	30	30	30	skill('Tornado'.blvl)*par8/16									500
